Timestamp,SR3-SR1 Jun25,SR3-SR1 Mar25,SR3-SR1 Dec24,SR3-SR1 Sep24,SR3-SR1 Jun24,SR3-SR1 Mar24,,
4/27/2023,0,-3,-4.5,-2,-4,1.5,,
4/28/2023,0,-3,-4.5,-2,-4,1.5,,
5/1/2023,0,-3,-4.5,-2,-4,1.5,,
5/2/2023,0,-3,-4.5,-2,-4,4.5,,
5/3/2023,0,-3,-4.5,-2,-4,3.5,,
5/4/2023,0,-3,-4.5,-2,-4,2.5,,
5/5/2023,0,-3,-4.5,-2,-4,2,,
5/8/2023,0,-3,-4.5,-2,-4,3,,
5/9/2023,0,-3,-4.5,-2,-4,4,,
5/10/2023,0,-3,-4.5,-2,-4,4.5,,
5/11/2023,0,-3,-4.5,-2,-4,3,,
5/12/2023,0,-3,-4.5,-2,-4,0.5,,
5/15/2023,0,-3,-4.5,-2,-4,2.5,,
5/16/2023,0,-3,-4.5,-2,-4,3.5,,
5/17/2023,0,-3,-4.5,-2,-4,2,,
5/18/2023,0,-3,-4.5,-2,-4,2,,
5/19/2023,0,-3,-4.5,-2,-4,0.5,,
5/22/2023,0,-3,-4.5,-2,-4,2.5,,
5/23/2023,0,-3,-4.5,-2,-4,1.5,,
5/24/2023,0,-3,-4.5,-2,-4,1.5,,
5/25/2023,0,-3,-4.5,-2,-4,-1,,
5/26/2023,0,-3,-4.5,-2,-4,0.5,,
5/30/2023,0,-3,-4.5,-2,-4,2.5,,
5/31/2023,0,-3,-4.5,-2,-4,2.5,,
6/1/2023,0,-3,-4.5,-2,-4,2.5,,
6/2/2023,0,-3,-4.5,-2,-4,0,,
6/5/2023,0,-3,-4.5,-2,-4,1.5,,
6/6/2023,0,-3,-4.5,-2,-4,-1.5,,
6/7/2023,0,-3,-4.5,-2,-4,-0.5,,
6/8/2023,0,-3,-4.5,-2,-4,-0.5,,
6/9/2023,0,-3,-4.5,-2,-4,-3.5,,
6/12/2023,0,-3,-4.5,-2,-4,-1.5,,
6/13/2023,0,-3,-4.5,-2,-4,-2,,
6/14/2023,0,-3,-4.5,-2,-4,-3.5,,
6/15/2023,0,-3,-4.5,-2,-4,-1,,
6/16/2023,0,-3,-4.5,-2,-4,-3,,
6/20/2023,0,-3,-4.5,-2,-4,-2.5,,
6/21/2023,0,-3,-4.5,-2,-4,-1.5,,
6/22/2023,0,-3,-4.5,-2,-4,-3.5,,
6/23/2023,0,-3,-4.5,-2,-4,-2.5,,
6/26/2023,0,-3,-4.5,-2,-4,-2.5,,
6/27/2023,0,-3,-4.5,-2,-4,-4,,
6/28/2023,0,-3,-4.5,-2,-4,-2,,
6/29/2023,0,-3,-4.5,-2,-4,-5,,
6/30/2023,0,-3,-4.5,-2,-4,-3,,
7/3/2023,0,-3,-4.5,-2,-4,-4.5,,
7/5/2023,0,-3,-4.5,-2,-4,-3.5,,
7/6/2023,0,-3,-4.5,-2,-4,-2.5,,
7/7/2023,0,-3,-4.5,-2,-4,-1.5,,
7/10/2023,0,-3,-4.5,-2,-4,-1,,
7/11/2023,0,-3,-4.5,-2,-4,-3.5,,
7/12/2023,0,-3,-4.5,-2,-4,-2,,
7/13/2023,0,-3,-4.5,-2,-4,-1,,
7/14/2023,0,-3,-4.5,-2,-4,-1.5,,
7/17/2023,0,-3,-4.5,-2,-4,-0.5,,
7/18/2023,0,-3,-4.5,-2,-4,-2,,
